date,series,value,unit,source,status,n_active,dispnums
1901-08-26,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-08-26,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-09-02,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-09-02,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-09-09,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-09-09,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-09-16,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-09-16,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-09-23,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-09-23,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-09-30,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-09-30,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-10-07,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-10-07,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-10-14,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-10-14,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-10-21,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-10-21,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-10-28,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-10-28,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-11-04,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-11-04,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-11-11,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-11-11,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-11-18,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-11-18,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-11-25,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-11-25,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-12-02,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-12-02,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-12-09,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-12-09,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-12-16,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-12-16,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-12-23,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-12-23,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1901-12-30,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1901-12-30,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-01-06,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-01-06,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-01-13,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-01-13,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-01-20,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-01-20,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-01-27,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-01-27,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-02-03,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-02-03,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-02-10,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-02-10,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-02-17,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-02-17,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-02-24,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-02-24,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-03-03,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-03-03,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-03-10,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-03-10,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-03-17,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-03-17,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-03-24,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-03-24,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-03-31,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-03-31,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-04-07,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-04-07,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-04-14,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-04-14,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-04-21,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-04-21,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-04-28,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-04-28,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-05-05,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-05-05,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-05-12,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-05-12,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-05-19,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-05-19,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-05-26,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-05-26,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-06-02,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-06-02,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-06-09,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-06-09,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-06-16,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-06-16,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-06-23,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-06-23,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-06-30,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-06-30,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-07-07,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-07-07,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-07-14,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-07-14,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-07-21,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-07-21,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-07-28,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-07-28,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-08-04,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-08-04,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-08-11,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-08-11,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-08-18,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-08-18,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-08-25,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-08-25,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-09-01,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-09-01,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-09-08,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-09-08,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-09-15,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-09-15,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-09-22,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-09-22,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-09-29,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-09-29,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-10-06,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-10-06,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-10-13,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-10-13,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-10-20,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-10-20,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-10-27,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-10-27,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-11-03,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-11-03,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-11-10,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-11-10,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-11-17,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-11-17,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-11-24,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-11-24,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-12-01,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-12-01,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-12-08,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-12-08,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-12-15,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-12-15,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-12-22,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-12-22,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1902-12-29,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1902-12-29,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-01-05,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-01-05,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-01-12,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-01-12,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-01-19,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-01-19,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-01-26,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-01-26,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-02-02,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-02-02,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-02-09,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-02-09,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-02-16,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-02-16,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-02-23,war_risk,0,hostlev(0-5),cow_mid,ok,0,
1903-02-23,war_risk_pprob,0.000,pseudo-prob,cow_mid,ok,0,
1903-03-02,war_risk,0,hostlev(0-5),cow_mid,ok,0,
