product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,brand,color,url
8160381,Orlen Next-Gen Nuvella™ Performance Fabric Manual Reclining Sofa,standard,Motion sofas,performance,699.0,91,43,41,Ashley®,Carbon,https://www.ashleyfurniture.com/p/orlen_reclining_sofa/8160381.html
5430488,Evereast Pass Manual Reclining Sofa,standard,Motion sofas,fabric,899.99,87,40,41,Ashley®,Stone,https://www.ashleyfurniture.com/p/evereast_pass_reclining_sofa/5430488.html
6880488,First Base Manual Reclining Sofa,standard,Motion sofas,leather,799.99,86,40,41,Signature Design by Ashley®,Gunmetal,https://www.ashleyfurniture.com/p/first_base_reclining_sofa/6880488.html
U1310087,Boxmere Power Leather Reclining Sofa,standard,Motion sofas,leather,999.99,84,38,39,Signature Design by Ashley®,Storm,https://www.ashleyfurniture.com/p/boxmere_power_reclining_sofa/U1310087.html
3720381,Laresview Manual Reclining Sofa,standard,Motion sofas,leather,899.99,92,42,43,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/laresview_reclining_sofa/3720381.html
9050315,Biscoe Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,performance,1299.99,88,43,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/biscoe_power_reclining_sofa/9050315.html
U1120415,Healy Pier Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,1699.99,89.25,40,42.25,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/healy_pier_power_reclining_sofa/U1120415.html
6450688,Knoxlee Manual Reclining Sofa,standard,Motion sofas,leather,899.99,92,41,44,Signature Design by Ashley®,Driftwood,https://www.ashleyfurniture.com/p/knoxlee_reclining_sofa/6450688.html
5670415,Warrior Peak Dual Power Reclining Sofa,standard,Motion sofas,leather,1699.99,86,40,42,Ashley®,Umber,https://www.ashleyfurniture.com/p/warrior_peak_power_reclining_sofa/5670415.html
U12300S1,Arrington 3-Piece Dual Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,2599.98,111,40,42,Ashley®,Butternut,https://www.ashleyfurniture.com/p/arrington_3-piece_power_reclining_sectional/U12300S1.html
U1170088,Danemere Manual Leather Reclining Sofa,standard,Motion sofas,leather,1099.99,84,40,40,Signature Design by Ashley®,Black,https://www.ashleyfurniture.com/p/danemere_reclining_sofa/U1170088.html
99201S1,Brannigan 3-Piece Dual Power Reclining Modular Sectional,standard,Motion sofas,fabric,1299.98,111,43,42,Signature Design by Ashley®,Pebble,https://www.ashleyfurniture.com/p/brannigan_3-piece_power_reclining_sectional/99201S1.html
84503S2,Lantham 3-Piece Power Reclining Modular Sofa,standard,Motion sofas,fabric,2999.98,126,43,39,Ashley®,Ivory,https://www.ashleyfurniture.com/p/lantham_3-piece_power_sectional_reclining_sofa/84503S2.html
98802S1,Grafton Pike 3-Piece Dual Power Reclining Modular Sofa,standard,Motion sofas,fabric,1299.98,116,40,43,Signature Design by Ashley®,Pearl/Ash,https://www.ashleyfurniture.com/p/grafton_pike_3-piece_power_reclining_sectional/98802S1.html
U10330S8,VonKurt Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,2099.98,101,39,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_3-piece_power_reclining_sofa_sectional/U10330S8.html
6320415,Stately Check Dual Power Reclining Sofa,standard,Motion sofas,leather,1399.99,87,39,43,Signature Design by Ashley®,Sisal,https://www.ashleyfurniture.com/p/stately_check_power_reclining_sofa/6320415.html
