retailer,brand,sku,product,variant,form,material,price,list_price,discount_pct,available,peer_n,price_pctile,role,tees_up_n,tees_up_brands,cheaper_competitors
slumberland,La-Z-Boy,QK1032014,James Leather TriPower Recliner,Charcoal,Recliner,Leather,1699.99,2949.99,42.4,Y,172,77.9,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),134
slumberland,La-Z-Boy,QK1032015,James Leather TriPower Recliner,Walnut,Recliner,Leather,1699.99,2949.99,42.4,Y,172,77.9,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),134
slumberland,La-Z-Boy,QK1041686,Pinnacle Power Reclining Sofa,Marble,Sofa,Fabric,2699.99,4049.99,33.3,Y,187,88.2,Premium anchor,9,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(2); Ashley(1),165
slumberland,La-Z-Boy,QK1064407,Trouper Tri-Power Reclining Sofa,Sable,Sofa,Unspecified,2699.99,4799.99,43.8,Y,187,88.2,Premium anchor,9,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(2); Ashley(1),165
slumberland,La-Z-Boy,QK1064416,Trouper Tri-Power Reclining Sofa,Mink,Sofa,Unspecified,2699.99,4799.99,43.8,Y,187,88.2,Premium anchor,9,Stone & Leigh Upholstery(3); Flexsteel(3); Southern Motion(2); Ashley(1),165
slumberland,La-Z-Boy,QK1064413,Trouper Power Plus Reclining Sofa,Mink,Sofa,Unspecified,2499.99,4299.99,41.9,Y,187,87.2,Premium anchor,9,Stone & Leigh Upholstery(3); Southern Motion(3); Flexsteel(2); Ashley(1),163
slumberland,La-Z-Boy,QK1064404,Trouper Power Plus Reclining Sofa,Sable,Sofa,Unspecified,2499.99,4299.99,41.9,Y,187,87.2,Premium anchor,9,Stone & Leigh Upholstery(3); Southern Motion(3); Flexsteel(2); Ashley(1),163
slumberland,La-Z-Boy,QK1064438,Trouper Leather Tri-Power Rocker Recliner,Gray,Recliner,Leather,1699.99,2899.99,41.4,Y,172,77.9,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),134
slumberland,La-Z-Boy,QK1064428,Trouper Leather Tri-Power Rocker Recliner,Walnut,Recliner,Leather,1699.99,2899.99,41.4,Y,172,77.9,Premium anchor,9,Southern Motion(5); Flexsteel(2); Ultra Comfort(2),134
slumberland,La-Z-Boy,QK1064466,Jay Tri-Power Reclining Sofa,Mushroom,Sofa,Unspecified,2199.99,3999.99,45.0,Y,187,84.5,Premium anchor,9,Southern Motion(2); Flexsteel(2); Ashley(1); Stone & Leigh Upholstery(1); Slumberland(1); Franklin(1); Man-Wah Cheers(1),158
slumberland,La-Z-Boy,QK1064457,Jay Tri-Power Reclining Sofa,Granite,Sofa,Unspecified,2199.99,3999.99,45.0,Y,187,84.5,Premium anchor,9,Southern Motion(2); Flexsteel(2); Ashley(1); Stone & Leigh Upholstery(1); Slumberland(1); Franklin(1); Man-Wah Cheers(1),158
slumberland,La-Z-Boy,QK1082407,Roman Leather Reclining Sofa,Chocolate,Sofa,Leather,2199.99,3199.99,31.3,Y,187,84.5,Premium anchor,9,Southern Motion(2); Flexsteel(2); Ashley(1); Stone & Leigh Upholstery(1); Slumberland(1); Franklin(1); Man-Wah Cheers(1),158
steinhafels,La-Z-Boy,213141384,Acadia Leather Power Headrest Zero Gravity Reclining Loveseat,LB206379 Dean Shitake,Loveseat,Leather,3249.99,3611.1,10.0,Y,258,86.4,Premium anchor,9,Flexsteel(6); King Hickory(2); [HOMC](1),223
steinhafels,La-Z-Boy,210747941,Acadia Leather Power Headrest Zero Gravity Reclining Loveseat,LB206376 Dean Chestnut,Loveseat,Leather,3249.99,3611.1,10.0,Y,258,86.4,Premium anchor,9,Flexsteel(6); King Hickory(2); [HOMC](1),223
slumberland,La-Z-Boy,QK1108334,Dutton Leather Rocker Recliner,Mocha,Recliner,Leather,1199.99,1899.0,36.8,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1108335,Dutton Leather Rocker Recliner,Charcoal,Recliner,Leather,1199.99,1899.0,36.8,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1101741,Belmont Rocker Recliner,Camel,Recliner,Leather,1199.99,1999.0,40.0,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1101742,Belmont Rocker Recliner,Mineral,Recliner,Leather,1199.99,1999.0,40.0,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1090807,Trouper 3 Piece Reclining Sectional,Sable,Sectional,Fabric,3699.99,5719.99,35.3,Y,182,87.9,Premium anchor,8,Flexsteel(2); Man-Wah Cheers(2); Dimensions by England(2); Stone & Leigh Upholstery(1); Leather Italia USA(1),160
slumberland,La-Z-Boy,QK1082405,Morrison Tri-Power Rocker Recliner,Marble,Recliner,Unspecified,1199.99,1879.99,36.2,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1082406,Morrison Tri-Power Rocker Recliner,Graphite,Recliner,Unspecified,1199.99,1879.99,36.2,Y,172,64.5,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),111
slumberland,La-Z-Boy,QK1040716,Jay Power Plus Rocker Recliner,Mushroom,Recliner,Unspecified,1229.99,2149.99,42.8,Y,172,67.4,Mid-ladder,8,Southern Motion(5); Flexsteel(1); Man-Wah Cheers(1); Franklin(1),116
slumberland,La-Z-Boy,QK1060419,Dorian Reclining Sofa,Sand,Sofa,Unspecified,1999.99,3079.99,35.1,Y,187,79.1,Premium anchor,8,Franklin(2); Flexsteel(2); Southern Motion(2); Slumberland(1); Man-Wah Cheers(1),148
slumberland,La-Z-Boy,QK1064463,Jay Power Plus Reclining Sofa,Mushroom,Sofa,Unspecified,1999.99,3499.99,42.9,Y,187,79.1,Premium anchor,8,Franklin(2); Flexsteel(2); Southern Motion(2); Slumberland(1); Man-Wah Cheers(1),148
slumberland,La-Z-Boy,QK1064454,Jay Power Plus Reclining Sofa,Granite,Sofa,Unspecified,1999.99,3499.99,42.9,Y,187,79.1,Premium anchor,8,Franklin(2); Flexsteel(2); Southern Motion(2); Slumberland(1); Man-Wah Cheers(1),148
slumberland,La-Z-Boy,QK1082409,Roman Leather Power Plus Reclining Sofa,Chocolate,Sofa,Leather,2799.99,3899.99,28.2,Y,187,89.3,Premium anchor,8,Flexsteel(4); Stone & Leigh Upholstery(3); Southern Motion(1),167
slumberland,La-Z-Boy,QK1098745,Ava 5 Piece Sectional,Oyster,Sectional,Unspecified,4399.99,6449.98,31.8,Y,182,92.9,Premium anchor,7,Flexsteel(5); Dimensions by England(1); Stone & Leigh Upholstery(1),169
slumberland,La-Z-Boy,QK1100816,Armitage Dual Power Oversized Recliner,Marble,Recliner,Unspecified,1799.99,2629.99,31.6,Y,172,82.6,Premium anchor,7,Flexsteel(3); Southern Motion(2); Ultra Comfort(2),142
slumberland,La-Z-Boy,QK1062104,Brooks Reclining Loveseat,Muslin,Loveseat,Unspecified,979.99,2379.99,58.8,Y,174,36.8,Mid-ladder,7,Franklin(3); Ashley(3); Dimensions by England(1),64
slumberland,La-Z-Boy,QK1095671,Collage Rocker Recliner,Fudge,Recliner,Unspecified,399.99,999.0,60.0,Y,172,5.2,Opening price point,7,Ashley(6); Franklin(1),9
slumberland,La-Z-Boy,QK1095672,Collage Rocker Recliner,Navy,Recliner,Unspecified,399.99,999.0,60.0,Y,172,5.2,Opening price point,7,Ashley(6); Franklin(1),9
slumberland,La-Z-Boy,QK1087077,Neo Tri-Power Rocker Recliner,Ash,Recliner,Unspecified,1969.99,3099.0,36.4,Y,172,88.4,Premium anchor,6,Ultra Comfort(3); Southern Motion(2); Flexsteel(1),152
slumberland,La-Z-Boy,QK1064433,Trouper Leather Power Plus Reclining Loveseat,Gray,Loveseat,Leather,2979.99,5879.99,49.3,Y,174,87.4,Premium anchor,6,Flexsteel(3); Southern Motion(1); Stone & Leigh Upholstery(1); Slumberland(1),152
slumberland,La-Z-Boy,QK1081520,James Leather Tri-Power Reclining Console Loveseat,Charcoal,Loveseat,Leather,3499.99,5549.99,36.9,Y,174,93.1,Premium anchor,6,Flexsteel(4); Slumberland(2),162
slumberland,La-Z-Boy,QK1081507,James Leather Power Plus Reclining Loveseat,Walnut,Loveseat,Leather,3179.99,4579.99,30.6,Y,174,87.4,Premium anchor,6,Flexsteel(4); Stone & Leigh Upholstery(1); Slumberland(1),152
slumberland,La-Z-Boy,QK1064436,Trouper Leather Tri-Power Reclining Loveseat,Gray,Loveseat,Leather,3279.99,6379.99,48.6,Y,174,92.5,Premium anchor,6,Flexsteel(4); Slumberland(2),161
slumberland,La-Z-Boy,QK1098744,Ava 5 Piece Sectional with 1 Tri-Power End,Oyster,Sectional,Unspecified,4899.99,7049.98,30.5,Y,182,94.5,Premium anchor,5,Flexsteel(3); Stone & Leigh Upholstery(1); Man-Wah Cheers(1),172
slumberland,La-Z-Boy,QK1064422,Trouper Leather Power Plus Reclining Sofa,Walnut,Sofa,Leather,2999.99,5899.99,49.2,Y,187,93.6,Premium anchor,5,Flexsteel(3); Stone & Leigh Upholstery(1); Southern Motion(1),175
slumberland,La-Z-Boy,QK1081510,James Leather Tri-Power Reclining Loveseat,Walnut,Loveseat,Leather,3379.99,5379.99,37.2,Y,174,93.1,Premium anchor,5,Flexsteel(3); Slumberland(2),162
slumberland,La-Z-Boy,QK1081517,James Leather Power Plus Reclining Console Loveseat,Charcoal,Loveseat,Leather,3299.99,4749.99,30.5,Y,174,92.5,Premium anchor,5,Flexsteel(3); Slumberland(2),161
