date,series,value
1888-06-08,france,3.6058
1888-06-15,dutch,3.2468
1888-06-15,france,3.6166
1888-06-22,dutch,3.2468
1888-06-22,france,3.6079
1888-06-29,dutch,3.2468
1888-06-29,france,3.6243
1888-07-06,dutch,3.2468
1888-07-06,france,3.595
1888-07-13,dutch,3.2468
1888-07-13,france,3.595
1888-07-20,dutch,3.2468
1888-07-20,france,3.5971
1888-07-27,dutch,3.2468
1888-07-27,france,3.5842
1888-08-03,dutch,3.2468
1888-08-03,france,3.5939
1888-08-10,dutch,3.2468
1888-08-10,france,3.5874
1888-08-17,dutch,3.2468
1888-08-17,france,3.5832
1888-08-24,dutch,3.2468
1888-08-24,france,3.5896
1888-08-31,dutch,3.2468
1888-08-31,france,3.5736
1888-09-07,dutch,3.2895
1888-09-07,france,3.5556
1888-09-14,dutch,3.2895
1888-09-14,france,3.5619
1888-09-21,dutch,3.2895
1888-09-21,france,3.5928
1888-09-28,dutch,3.2895
1888-09-28,france,3.5993
1888-10-05,dutch,3.2895
1888-10-05,france,3.6298
1888-10-12,dutch,3.3333
1888-10-12,france,3.6375
1888-10-19,dutch,3.3333
1888-10-19,france,3.6353
1888-10-26,dutch,3.3333
1888-10-26,france,3.6309
1888-11-02,dutch,3.3333
1888-11-02,france,3.6353
1888-11-09,dutch,3.3333
1888-11-09,france,3.6221
1888-11-16,dutch,3.2895
1888-11-16,france,3.6047
1888-11-23,dutch,3.2895
1888-11-23,france,3.6112
1888-11-30,dutch,3.2895
1888-11-30,france,3.6166
1888-12-07,dutch,3.2895
1888-12-07,france,3.6069
1888-12-14,dutch,3.2895
1888-12-14,france,3.609
1888-12-21,dutch,3.2895
1888-12-21,france,3.632
1888-12-28,dutch,3.2895
1888-12-28,france,3.6265
1889-01-04,dutch,3.2051
1889-01-04,france,3.6123
1889-01-11,dutch,3.3333
1889-01-11,france,3.621
1889-01-18,dutch,3.3333
1889-01-18,france,3.6145
1889-01-25,dutch,3.3333
1889-01-25,france,3.6177
1889-02-01,dutch,3.3333
1889-02-01,france,3.6155
1889-02-08,dutch,3.3333
1889-02-08,france,3.5874
1889-02-15,dutch,3.3333
1889-02-15,france,3.5864
1889-02-22,dutch,3.3333
1889-02-22,france,3.5646
1889-03-01,dutch,3.3333
1889-03-01,france,3.516
1889-03-08,dutch,3.3333
1889-03-08,france,3.5139
1889-03-15,dutch,3.3333
1889-03-15,france,3.5067
1889-03-22,dutch,3.3333
1889-03-22,france,3.5315
1889-03-29,dutch,3.3333
1889-03-29,france,3.5006
1889-04-05,dutch,3.3333
1889-04-05,france,3.5182
1889-04-12,dutch,3.3333
1889-04-12,france,3.4894
1889-04-19,dutch,3.2895
1889-04-19,france,3.4493
1889-04-26,dutch,3.2468
1889-04-26,france,3.4423
1889-05-03,dutch,3.2051
1889-05-03,france,3.4198
1889-05-10,dutch,3.2051
1889-05-10,france,3.412
1889-05-17,dutch,3.2051
1889-05-17,france,3.4247
1889-05-24,dutch,3.1646
1889-05-24,france,3.4345
1889-05-31,dutch,3.1646
1889-05-31,france,3.4602
1889-06-07,dutch,3.1646
1889-06-07,france,3.4642
1889-06-14,dutch,3.1646
1889-06-14,france,3.4762
1889-06-21,dutch,3.1646
1889-06-21,france,3.5047
1889-06-28,dutch,3.1646
1889-06-28,france,3.5566
1889-07-05,dutch,3.2051
1889-07-05,france,3.5693
1889-07-12,dutch,3.2051
1889-07-12,france,3.5993
1889-07-19,dutch,3.2051
1889-07-19,france,3.58
1889-07-26,dutch,3.2051
1889-07-26,france,3.5757
1889-08-02,dutch,3.2051
1889-08-02,france,3.5471
1889-08-09,dutch,3.1646
1889-08-09,france,3.5232
1889-08-16,dutch,3.1646
1889-08-16,france,3.5513
1889-08-23,dutch,3.125
1889-08-23,france,3.4955
1889-08-30,dutch,3.1646
1889-08-30,france,3.5119
1889-09-06,dutch,3.1646
1889-09-06,france,3.4924
1889-09-13,dutch,3.1646
1889-09-13,france,3.4783
1889-09-20,dutch,3.1646
1889-09-20,france,3.5016
1889-09-27,dutch,3.1646
1889-09-27,france,3.4722
1889-10-04,dutch,3.1646
1889-10-04,france,3.4394
1889-10-11,dutch,3.125
1889-10-11,france,3.4266
1889-10-18,dutch,3.125
1889-10-18,france,3.4178
1889-10-25,dutch,3.125
1889-10-25,france,3.4276
1889-11-01,dutch,3.125
1889-11-01,france,3.4443
1889-11-08,dutch,3.125
1889-11-08,france,3.4423
1889-11-15,dutch,3.0864
1889-11-15,france,3.4305
1889-11-22,dutch,3.0864
1889-11-22,france,3.4178
1889-11-29,dutch,3.0864
1889-11-29,france,3.4227
1889-12-06,dutch,3.0488
1889-12-06,france,3.4198
1889-12-13,dutch,3.0488
1889-12-13,france,3.3965
1889-12-20,dutch,2.9762
1889-12-20,france,3.4217
1889-12-27,dutch,3.012
1889-12-27,france,3.4159
1890-01-03,dutch,3.0488
1890-01-03,france,3.4188
1890-01-03,russia,4.3011
1890-01-10,dutch,3.0864
1890-01-10,france,3.4266
1890-01-10,russia,4.2667
1890-01-17,dutch,3.0488
1890-01-17,france,3.4296
1890-01-17,russia,4.2328
1890-01-24,dutch,3.0488
1890-01-24,france,3.4159
1890-01-24,russia,4.2328
1890-01-31,dutch,3.0488
1890-01-31,france,3.4101
1890-01-31,russia,4.2328
1890-02-07,dutch,3.0488
1890-02-07,france,3.4227
1890-02-07,russia,4.2384
1890-02-14,dutch,3.0488
1890-02-14,france,3.413
1890-02-14,russia,4.2553
1890-02-21,dutch,3.0488
1890-02-21,france,3.4091
1890-02-21,russia,4.2781
1890-02-28,dutch,3.0864
1890-02-28,france,3.3956
1890-02-28,russia,4.2667
1890-03-07,dutch,3.125
1890-03-07,france,3.3956
1890-03-07,russia,4.244
1890-03-14,dutch,3.125
1890-03-14,france,3.3831
1890-03-14,russia,4.2105
1890-03-21,dutch,3.125
1890-03-21,france,3.4149
1890-03-21,russia,4.244
1890-03-28,dutch,3.125
1890-03-28,france,3.4101
